time,c0,c1,v0,v1,i0,i1,cpu_uj,sys_uj
11091.006129,52,5,7601000,7378000,863000,0,39256231596,48078423915
11092.0143681,52,5,7599000,7378000,860000,0,39258191307,48080717367
11093.0242631,52,5,7601000,7378000,851000,0,39260123981,48082993667
11094.03231,52,5,7598000,7378000,849000,0,39262080946,48085344857
11095.0462022,52,5,7596000,7378000,872000,0,39264041634,48087667483
11096.0549512,52,5,7599000,7378000,851000,0,39265984439,48089957699
11097.065387,52,5,7601000,7378000,849000,0,39267915465,48092227286
11098.0752501,52,5,7600000,7378000,852000,0,39269870110,48094536911
11099.0855641,52,5,7589000,7378000,889000,0,39271912830,48097036295
11100.09533,52,5,7601000,7378000,872000,0,39274328473,48100122163
11101.1063411,52,5,7599000,7378000,950000,0,39276274452,48102406215
11102.1161602,52,5,7601000,7378000,847000,0,39278227877,48104687642
11103.126307,52,5,7601000,7380000,845000,0,39280193265,48106995437
11104.1385701,52,5,7600000,7380000,857000,0,39282153465,48109338082
11105.14835,52,5,7601000,7380000,856000,0,39284120257,48111631289
11106.159313,52,5,7600000,7380000,857000,0,39286131421,48113987972
11107.171205,51,5,7601000,7380000,855000,0,39288102852,48116336538
11108.1836672,51,5,7600000,7380000,845000,0,39290043216,48118612350
11109.194344,51,5,7600000,7380000,846000,0,39291989561,48120924295
11110.201293,51,5,7598000,7380000,853000,0,39293933403,48123219211
11111.2143881,51,5,7598000,7380000,843000,0,39295876025,48125492643
11112.2225351,51,5,7598000,7380000,845000,0,39297819990,48127787315
11113.2302542,51,5,7598000,7380000,851000,0,39299877785,48130253190
11114.236197,51,5,7591000,7380000,1022000,0,39302610383,48133126656
11115.2442372,51,5,7600000,7380000,849000,0,39304542141,48135395999
11116.2563951,51,5,7595000,7380000,874000,0,39306878194,48138472712
11117.2724121,51,5,7600000,7380000,948000,0,39308858902,48140828602
11118.2813711,51,5,7601000,7380000,853000,0,39310817149,48143152265
11119.293479,51,5,7597000,7380000,860000,0,39312735479,48145442054
11120.3124011,51,5,7602000,7380000,848000,0,39314706727,48147742464
11121.322304,51,5,7601000,7380000,849000,0,39316654537,48150025417
11122.332437,51,5,7600000,7380000,972000,0,39319403065,48152898212
11123.3483162,51,5,7599000,7380000,855000,0,39321377303,48155225110
11124.35603,51,5,7593000,7380000,856000,0,39323358072,48157590095
11125.366344,51,5,7599000,7380000,846000,0,39325305210,48159900514
11126.3787222,51,5,7601000,7380000,851000,0,39327279204,48162220210
11127.3914111,51,5,7603000,7380000,848000,0,39329229822,48164486928
11128.4022691,51,5,7602000,7380000,845000,0,39331356769,48167027265
11129.4103432,51,5,7599000,7380000,900000,0,39333298110,48169334999
11130.4207242,51,5,7600000,7380000,841000,0,39336161262,48172268829
11131.4312291,51,5,7594000,7380000,1002000,0,39338144899,48174611902
11132.4412761,51,5,7597000,7380000,855000,0,39340094357,48176942157
11133.4489841,51,5,7597000,7380000,849000,0,39342042167,48179206006
11134.4585712,51,5,7580000,7380000,943000,0,39344472153,48182289616
11135.469569,51,5,7598000,7380000,887000,0,39346403545,48184609129
11136.481267,51,5,7597000,7380000,857000,0,39348340308,48186880181
11137.4890311,51,5,7599000,7380000,843000,0,39350251008,48189113451
11138.4983182,51,5,7597000,7380000,841000,0,39352185818,48191395977
11139.507581,51,5,7599000,7380000,853000,0,39354118003,48193673315
11140.521256,51,5,7599000,7380000,847000,0,39356065263,48195939850
11141.5293911,51,5,7600000,7380000,844000,0,39357983166,48198182947
11142.5392601,51,5,7600000,7380000,842000,0,39359901252,48200440022
11143.5536132,51,5,7585000,7380000,879000,0,39361975954,48202992933
11144.5661211,51,5,7595000,7380000,864000,0,39363936886,48205292487
11145.5743141,51,5,7596000,7380000,847000,0,39365892081,48207576295
11146.5884771,51,5,7596000,7380000,843000,0,39367829821,48209860774
11147.5980761,51,5,7596000,7380000,844000,0,39369779645,48212130482
11148.607425,51,5,7596000,7380000,845000,0,39371704750,48214381270
11149.61848,51,5,7597000,7380000,843000,0,39373636507,48216633645
11150.6334982,51,5,7598000,7380000,847000,0,39375595548,48218934542
11151.6423302,51,5,7599000,7380000,847000,0,39377548302,48221207486
11152.6515851,51,5,7599000,7380000,846000,0,39379467303,48223474203
11153.663259,51,5,7599000,7380000,845000,0,39381430921,48225766678
11154.673238,51,5,7596000,7380000,865000,0,39383389412,48228140939
11155.6823161,51,5,7586000,7380000,918000,0,39385697695,48230956911
11156.6973631,51,5,7597000,7380000,895000,0,39387645139,48233273678
11157.7103641,51,5,7596000,7380000,860000,0,39389609611,48235594290
11158.7203121,51,5,7596000,7380000,843000,0,39391524889,48237844284
11159.7302451,51,5,7597000,7380000,853000,0,39393441205,48240089029
11160.741322,51,5,7598000,7380000,845000,0,39395377296,48242353061
11161.7533572,51,5,7595000,7380000,843000,0,39397329013,48244640836
11162.761122,51,5,7597000,7379000,845000,0,39399269010,48246888084
11163.769448,51,5,7596000,7379000,845000,0,39401194664,48249176408
11164.7812262,51,5,7595000,7379000,858000,0,39403157367,48251469615
11165.792274,51,5,7595000,7379000,849000,0,39405130201,48253767034
11166.8051341,51,5,7593000,7379000,874000,0,39407141915,48256187987
11167.8168771,51,5,7597000,7379000,845000,0,39409077213,48258470574
11168.8311062,51,5,7596000,7379000,848000,0,39411058104,48260780626
11169.841603,51,5,7595000,7379000,848000,0,39413014153,48263090130
11170.8568461,51,5,7596000,7379000,845000,0,39414982593,48265381078
11171.8682201,51,5,7589000,7379000,869000,0,39416986982,48267760223
11172.8783031,51,5,7594000,7379000,847000,0,39418967568,48270068078
11173.8874772,51,5,7596000,7379000,846000,0,39420923862,48272382464
11174.8943131,51,5,7597000,7379000,842000,0,39422830962,48274611402
11175.9067712,51,5,7591000,7379000,858000,0,39424779809,48276938056
11176.920675,51,5,7596000,7379000,842000,0,39426690022,48279186097
11177.930321,51,5,7596000,7379000,845000,0,39428629409,48281477229
11178.9413111,51,5,7596000,7379000,843000,0,39430560495,48283759327
11179.9519131,51,5,7595000,7379000,846000,0,39432488041,48286025923
11180.9631381,51,5,7593000,7379000,856000,0,39434448302,48288370949
11181.972574,51,5,7594000,7379000,849000,0,39436416986,48290683687
